alias_name,normalized_alias,confidence,machine_id
転生の章2,転生の章2,1.0,11111111-1111-1111-1111-000000000001
転生の章Ⅱ,転生の章ii,1.0,11111111-1111-1111-1111-000000000001
転生2,転生2,1.0,11111111-1111-1111-1111-000000000001
転生の章,転生の章,1.0,11111111-1111-1111-1111-000000000001
北斗の拳転生,北斗の拳転生,1.0,11111111-1111-1111-1111-000000000001
北斗転生,北斗転生,1.0,11111111-1111-1111-1111-000000000001
ヴァルヴレイヴ2,ヴァルヴレイヴ2,1.0,11111111-1111-1111-1111-000000000002
ヴァルヴレイヴ,ヴァルヴレイヴ,1.0,11111111-1111-1111-1111-000000000002
炎炎ノ消防隊,炎炎ノ消防隊,1.0,11111111-1111-1111-1111-000000000003
炎炎の消防隊,炎炎の消防隊,1.0,11111111-1111-1111-1111-000000000003
ミリオンゴッド,ミリオンゴッド,1.0,11111111-1111-1111-1111-000000000004
甲鉄城のカバネリ,甲鉄城のカバネリ,1.0,11111111-1111-1111-1111-000000000005
カバネリ海門決戦,カバネリ海門決戦,1.0,11111111-1111-1111-1111-000000000005
カバネリ,カバネリ,1.0,11111111-1111-1111-1111-000000000005
甲鉄城,甲鉄城,1.0,11111111-1111-1111-1111-000000000005
東京グール,東京グール,0.95,11111111-1111-1111-1111-000000000006
北斗,北斗,1.0,11111111-1111-1111-1111-000000000007
バジリスク絆,バジリスク絆,1.0,11111111-1111-1111-1111-000000000009
バジリスク,バジリスク,1.0,11111111-1111-1111-1111-000000000009
沖ドキDUO,沖ドキduo,1.0,11111111-1111-1111-1111-000000000013
沖ドキ,沖ドキ,1.0,11111111-1111-1111-1111-000000000013
チバリヨ2,チバリヨ2,1.0,11111111-1111-1111-1111-000000000014
チバリヨ,チバリヨ,1.0,11111111-1111-1111-1111-000000000014
鬼武者3,鬼武者3,1.0,11111111-1111-1111-1111-000000000016
かぐや様,かぐや様,1.0,11111111-1111-1111-1111-000000000017
バイオハザードRe,バイオハザードre,1.0,11111111-1111-1111-1111-000000000018
Re:ゼロ,re:ゼロ,1.0,11111111-1111-1111-1111-000000000019
リゼロ,リゼロ,1.0,11111111-1111-1111-1111-000000000019
からくり,からくり,1.0,11111111-1111-1111-1111-000000000021
鉄拳,鉄拳,1.0,11111111-1111-1111-1111-000000000022
アイムジャグラー,アイムジャグラー,1.0,11111111-1111-1111-1111-000000000023
マイジャグ,マイジャグ,1.0,11111111-1111-1111-1111-000000000024
牙狼,牙狼,1.0,11111111-1111-1111-1111-000000000029
eバイオ,eバイオ,1.0,11111111-1111-1111-1111-000000000030
eFEVERキン肉マン,efeverキン肉マン,1.0,11111111-1111-1111-1111-000000000031
eFキン肉マン,efキン肉マン,1.0,11111111-1111-1111-1111-000000000031
eキン肉マン,eキン肉マン,1.0,11111111-1111-1111-1111-000000000031
eFEVERもののがたり,efeverもののがたり,1.0,11111111-1111-1111-1111-000000000033
eもののがたり,eもののがたり,1.0,11111111-1111-1111-1111-000000000033
eひきこまり吸血鬼の悶々,eひきこまり吸血鬼の悶々,0.95,11111111-1111-1111-1111-000000000034
eひきこまり,eひきこまり,1.0,11111111-1111-1111-1111-000000000034
転生したらスライムだった件,転生したらスライムだった件,1.0,11111111-1111-1111-1111-000000000036
転スラ,転スラ,1.0,11111111-1111-1111-1111-000000000036

