official_name,manufacturer,brand,type,release_date,is_active
スマスロ北斗の拳転生の章2,サミー,,slot,,true
L革命機ヴァルヴレイヴ2,サミー,,slot,,true
L炎炎ノ消防隊2,ユニバーサルエンターテインメント,,slot,,true
Lミリオンゴッド神々の軌跡,ユニバーサルエンターテインメント,,slot,,true
L甲鉄城のカバネリ海門決戦,ビスティ,,slot,,true
L東京喰種,コナミアミューズメント,,slot,,true
スマスロ北斗の拳,サミー,,slot,,true
スマスロ攻殻機動隊,エレコ,,slot,,true
バジリスク絆2,ユニバーサルエンターテインメント,,slot,,true
L真打吉宗,大都技研,,slot,,true
L吉宗,大都技研,,slot,,true
スマスロゴッドイーター,要確認,,slot,,true
L沖ドキDUO アンコール,ユニバーサルエンターテインメント,,slot,,true
Lチバリヨ2ZB,ユニバーサルエンターテインメント,,slot,,true
Lシャーマンキング,KPE,,slot,,true
L新鬼武者3,コナミアミューズメント,,slot,,true
Lかぐや様は告らせたい,KPE,,slot,,true
スマスロバイオハザードRE:3,エレコ,,slot,,true
Re:ゼロから始める異世界生活,ビスティ,,slot,,true
Lゴジラ,要確認,,slot,,true
Lからくりサーカス,パオン・ディーピー,,slot,,true
L鉄拳6,コナミアミューズメント,,slot,,true
アイムジャグラーEX,ユニバーサルブロス,ジャグラー,slot,,true
マイジャグラー5,ユニバーサルブロス,ジャグラー,slot,,true
ファンキージャグラー2,ユニバーサルブロス,ジャグラー,slot,,true
ゴーゴージャグラー3,ユニバーサルブロス,ジャグラー,slot,,true
ハッピージャグラーVⅢ,ユニバーサルブロス,ジャグラー,slot,,true
e牙狼12黄金騎士極限,三洋物産,,pachinko,,true
e牙狼12,三洋物産,,pachinko,,true
eバイオハザード6,平和,,pachinko,,true
eフィーバーキン肉マン,SANKYO,,pachinko,,true
eフィーバーもののがたりF,SANKYO,,pachinko,,true
eフィーバーもののがたり,SANKYO,,pachinko,,true
eひきこまり吸血姫の悶々,要確認,,pachinko,,true
eカケグルイ,藤商事,,pachinko,,true
e転生したらスライムだった件2,要確認,,pachinko,,true
